   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
2.5704e+00,3.3505e-01,1.5220e-01
2.6607e+00,3.3881e-01,1.5180e-01
2.7542e+00,3.4257e-01,1.5138e-01
2.8510e+00,3.4630e-01,1.5095e-01
2.9512e+00,3.5003e-01,1.5051e-01
3.0549e+00,3.5373e-01,1.5006e-01
3.1623e+00,3.5742e-01,1.4959e-01
3.2734e+00,3.6109e-01,1.4911e-01
3.3884e+00,3.6474e-01,1.4862e-01
3.5075e+00,3.6838e-01,1.4812e-01
3.6308e+00,3.7200e-01,1.4761e-01
3.7584e+00,3.7560e-01,1.4709e-01
3.8905e+00,3.7919e-01,1.4656e-01
4.0272e+00,3.8276e-01,1.4602e-01
4.1687e+00,3.8631e-01,1.4547e-01
4.3152e+00,3.8985e-01,1.4492e-01
4.4668e+00,3.9336e-01,1.4435e-01
4.6238e+00,3.9686e-01,1.4378e-01
4.7863e+00,4.0035e-01,1.4321e-01
4.9545e+00,4.0381e-01,1.4262e-01
5.1286e+00,4.0726e-01,1.4204e-01
5.3088e+00,4.1069e-01,1.4144e-01
5.4954e+00,4.1411e-01,1.4084e-01
5.6885e+00,4.1750e-01,1.4024e-01
5.8884e+00,4.2088e-01,1.3963e-01
6.0954e+00,4.2424e-01,1.3901e-01
6.3096e+00,4.2759e-01,1.3839e-01
6.5313e+00,4.3091e-01,1.3777e-01
6.7608e+00,4.3422e-01,1.3714e-01
6.9984e+00,4.3751e-01,1.3651e-01
7.2444e+00,4.4079e-01,1.3588e-01
7.4989e+00,4.4405e-01,1.3524e-01
7.7625e+00,4.4729e-01,1.3460e-01
8.0353e+00,4.5051e-01,1.3396e-01
8.3176e+00,4.5372e-01,1.3332e-01
8.6099e+00,4.5691e-01,1.3267e-01
8.9125e+00,4.6008e-01,1.3202e-01
9.2257e+00,4.6323e-01,1.3137e-01
9.5499e+00,4.6637e-01,1.3072e-01
9.8855e+00,4.6949e-01,1.3007e-01
1.0233e+01,4.7259e-01,1.2942e-01
1.0593e+01,4.7568e-01,1.2876e-01
1.0965e+01,4.7875e-01,1.2810e-01
1.1350e+01,4.8180e-01,1.2745e-01
1.1749e+01,4.8484e-01,1.2679e-01
1.2162e+01,4.8786e-01,1.2613e-01
1.2589e+01,4.9086e-01,1.2547e-01
1.3032e+01,4.9385e-01,1.2481e-01
1.3490e+01,4.9682e-01,1.2415e-01
1.3964e+01,4.9977e-01,1.2349e-01
1.4454e+01,5.0271e-01,1.2283e-01
1.4962e+01,5.0562e-01,1.2217e-01
1.5488e+01,5.0853e-01,1.2151e-01
1.6032e+01,5.1141e-01,1.2085e-01
1.6596e+01,5.1428e-01,1.2019e-01
1.7179e+01,5.1714e-01,1.1954e-01
1.7783e+01,5.1997e-01,1.1888e-01
1.8408e+01,5.2279e-01,1.1822e-01
1.9055e+01,5.2560e-01,1.1757e-01
1.9724e+01,5.2839e-01,1.1691e-01
2.0417e+01,5.3116e-01,1.1626e-01
2.1135e+01,5.3391e-01,1.1561e-01
2.1878e+01,5.3665e-01,1.1496e-01
2.2646e+01,5.3937e-01,1.1431e-01
2.3442e+01,5.4208e-01,1.1366e-01
2.4266e+01,5.4477e-01,1.1301e-01
2.5119e+01,5.4745e-01,1.1236e-01
2.6002e+01,5.5011e-01,1.1172e-01
2.6915e+01,5.5275e-01,1.1108e-01
2.7861e+01,5.5538e-01,1.1044e-01
2.8840e+01,5.5799e-01,1.0980e-01
2.9854e+01,5.6058e-01,1.0916e-01
3.0903e+01,5.6316e-01,1.0853e-01
3.1989e+01,5.6573e-01,1.0789e-01
3.3113e+01,5.6828e-01,1.0726e-01
3.4277e+01,5.7081e-01,1.0663e-01
3.5481e+01,5.7333e-01,1.0601e-01
3.6728e+01,5.7583e-01,1.0538e-01
3.8019e+01,5.7832e-01,1.0476e-01
3.9355e+01,5.8079e-01,1.0414e-01
4.0738e+01,5.8324e-01,1.0352e-01
4.2170e+01,5.8568e-01,1.0290e-01
4.3652e+01,5.8811e-01,1.0229e-01
4.5186e+01,5.9052e-01,1.0168e-01
4.6774e+01,5.9292e-01,1.0107e-01
4.8417e+01,5.9530e-01,1.0047e-01
5.0119e+01,5.9766e-01,9.9865e-02
5.1880e+01,6.0001e-01,9.9265e-02
5.3703e+01,6.0235e-01,9.8668e-02
5.5590e+01,6.0467e-01,9.8074e-02
5.7544e+01,6.0698e-01,9.7483e-02
5.9566e+01,6.0927e-01,9.6894e-02
6.1660e+01,6.1155e-01,9.6308e-02
6.3826e+01,6.1381e-01,9.5726e-02
6.6069e+01,6.1606e-01,9.5146e-02
6.8391e+01,6.1830e-01,9.4569e-02
7.0795e+01,6.2052e-01,9.3996e-02
7.3282e+01,6.2272e-01,9.3425e-02
7.5858e+01,6.2491e-01,9.2858e-02
7.8524e+01,6.2709e-01,9.2294e-02
8.1283e+01,6.2926e-01,9.1733e-02
8.4140e+01,6.3141e-01,9.1175e-02
8.7096e+01,6.3354e-01,9.0621e-02
9.0157e+01,6.3566e-01,9.0070e-02
9.3325e+01,6.3777e-01,8.9522e-02
9.6605e+01,6.3987e-01,8.8978e-02
1.0000e+02,6.4195e-01,8.8437e-02
1.0351e+02,6.4402e-01,8.7899e-02
1.0715e+02,6.4608e-01,8.7365e-02
1.1092e+02,6.4812e-01,8.6834e-02
1.1482e+02,6.5015e-01,8.6307e-02
1.1885e+02,6.5216e-01,8.5783e-02
1.2303e+02,6.5417e-01,8.5263e-02
1.2735e+02,6.5616e-01,8.4747e-02
1.3183e+02,6.5813e-01,8.4234e-02
1.3646e+02,6.6010e-01,8.3724e-02
1.4125e+02,6.6205e-01,8.3218e-02
1.4622e+02,6.6399e-01,8.2716e-02
1.5136e+02,6.6592e-01,8.2218e-02
1.5668e+02,6.6783e-01,8.1723e-02
1.6218e+02,6.6973e-01,8.1231e-02
1.6788e+02,6.7162e-01,8.0744e-02
1.7378e+02,6.7350e-01,8.0260e-02
1.7989e+02,6.7537e-01,7.9780e-02
1.8621e+02,6.7722e-01,7.9303e-02
1.9275e+02,6.7907e-01,7.8830e-02
1.9953e+02,6.8090e-01,7.8361e-02
2.0654e+02,6.8272e-01,7.7896e-02
2.1380e+02,6.8452e-01,7.7434e-02
2.2131e+02,6.8632e-01,7.6976e-02
2.2909e+02,6.8810e-01,7.6522e-02
2.3714e+02,6.8988e-01,7.6072e-02
2.4547e+02,6.9164e-01,7.5625e-02
2.5410e+02,6.9339e-01,7.5182e-02
2.6303e+02,6.9513e-01,7.4743e-02
2.7227e+02,6.9686e-01,7.4308e-02
2.8184e+02,6.9858e-01,7.3876e-02
2.9174e+02,7.0029e-01,7.3448e-02
3.0200e+02,7.0199e-01,7.3024e-02
3.1261e+02,7.0368e-01,7.2604e-02
3.2359e+02,7.0535e-01,7.2187e-02
3.3497e+02,7.0702e-01,7.1774e-02
3.4674e+02,7.0868e-01,7.1365e-02
3.5892e+02,7.1032e-01,7.0960e-02
3.7154e+02,7.1196e-01,7.0558e-02
3.8459e+02,7.1359e-01,7.0160e-02
3.9811e+02,7.1520e-01,6.9766e-02
4.1210e+02,7.1681e-01,6.9375e-02
4.2658e+02,7.1841e-01,6.8988e-02
4.4157e+02,7.1999e-01,6.8605e-02
4.5709e+02,7.2157e-01,6.8225e-02
4.7315e+02,7.2314e-01,6.7849e-02
4.8978e+02,7.2470e-01,6.7476e-02
5.0699e+02,7.2625e-01,6.7107e-02
5.2481e+02,7.2779e-01,6.6742e-02
5.4325e+02,7.2932e-01,6.6381e-02
5.6234e+02,7.3085e-01,6.6022e-02
5.8210e+02,7.3236e-01,6.5668e-02
6.0256e+02,7.3387e-01,6.5317e-02
6.2373e+02,7.3537e-01,6.4969e-02
6.4565e+02,7.3686e-01,6.4625e-02
6.6834e+02,7.3834e-01,6.4284e-02
6.9183e+02,7.3981e-01,6.3947e-02
